company_name,last_price,percent_gain
Magnit,"5,832.00",3.22%
NOVATEK,"1,710.00",2.88%
RusHydro,0.77,2.64%
Severstal,"1,596.00",2.57%
Rostelecom PJSC,88.09,2.17%
Rosneft Oil Company,588.00,2.16%
ALROSA,128.01,2.05%
Moscow Exchange MICEX-RTS,159.91,2.05%
Aeroflot - Russian Airlines,62.32,2.03%
Surgutneftegas,39.58,1.97%
Surgutneftegas Pref.,38.73,1.48%
TATNEFT PJSC,498.70,1.34%
TATNEFT Pref.,450.60,1.26%
