company_name,last_price,percent_gain
PIK,"1,117.00",3.35%
Polyus Gold,"13,975.50",1.45%
Novolipetsk Steel,219.40,0.49%
TMK,76.12,0.48%
M.video PJSC,565.80,0.32%
Surgutneftegas Pref.,38.12,0.00%
Unipro,2.80,0.00%
Magnitogorsk Iron & Steel Works,62.45,-0.06%
Polymetal,"1,331.00",-0.07%
NOVATEK,"1,715.00",-0.39%
Mechel,111.60,-0.55%
RusHydro,0.76,-0.63%
VTB Bank,0.05,-0.65%
Phosagro,"5,537.00",-0.66%
